"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Demarcus Robinson","49ers","WR","6","2.93","0.109","2.32","0.086","5.93","0.99","83.3%","0.0","0.0","33.3%","0.0%"
"[object Object]","2026","Ladd McConkey","Chargers","WR","10","2.91","0.073","1.86","0.046","9.68","0.97","70.0%","0.0","0.0","70.0%","10.0%"
"[object Object]","2026","George Kittle","49ers","TE","9","2.90","0.097","2.10","0.070","0.32","0.04","55.6%","0.0","0.0","33.3%","11.1%"
"[object Object]","2026","Demario Douglas","Patriots","WR","9","2.88","0.056","1.70","0.033","-0.63","-0.07","44.4%","0.0","0.0","22.2%","22.2%"
"[object Object]","2026","Garrett Wilson","Jets","WR","14","2.85","0.049","1.60","0.028","7.13","0.51","64.3%","0.0","0.0","28.6%","7.1%"
"[object Object]","2026","Isaiah Likely","Giants","TE","17","2.81","0.054","1.54","0.030","10.51","0.62","70.6%","0.0","0.0","35.3%","0.0%"
"[object Object]","2026","Khalil Shakir","Bills","WR","13","2.81","0.069","1.75","0.043","0.70","0.05","38.5%","0.0","0.0","15.4%","7.7%"
"[object Object]","2026","Rashee Rice","Chiefs","WR","8","2.73","0.043","1.47","0.023","4.15","0.52","62.5%","0.0","0.0","37.5%","12.5%"
"[object Object]","2026","Rashod Bateman","Ravens","WR","10","2.63","0.045","1.19","0.020","5.04","0.50","70.0%","0.0","0.0","40.0%","10.0%"
"[object Object]","2026","Antonio Williams","Commanders","WR","7","2.49","0.075","1.78","0.054","8.57","1.22","100.0%","0.0","0.0","42.9%","0.0%"
"[object Object]","2026","Derrick Henry","Ravens","RB","4","2.49","0.178","2.15","0.154","1.52","0.38","50.0%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Jake Ferguson","Cowboys","TE","6","2.45","0.053","1.15","0.025","6.06","1.01","83.3%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Tez Johnson","Buccaneers","WR","5","2.45","0.129","1.96","0.103","0.11","0.02","20.0%","0.0","0.0","20.0%","20.0%"
"[object Object]","2026","Hunter Henry","Patriots","TE","8","2.37","0.053","1.24","0.028","-1.53","-0.19","37.5%","0.0","0.0","25.0%","12.5%"
"[object Object]","2026","Chris Godwin","Buccaneers","WR","7","2.37","0.038","0.70","0.011","6.32","0.90","71.4%","0.0","0.0","42.9%","0.0%"
"[object Object]","2026","Elic Ayomanor","Titans","WR","6","2.32","0.075","1.37","0.044","4.36","0.73","50.0%","0.0","0.0","50.0%","16.7%"
