"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Woody Marks","Texans","RB","36","8.80","0.042","4.05","0.019","5.85","0.16","44.4%","6.5","0.2","19.4%","8.3%"
"[object Object]","2025","Marvin Harrison Jr.","Cardinals","WR","73","8.68","0.024","0.37","0.001","22.93","0.31","54.8%","4.8","0.1","27.4%","12.3%"
"[object Object]","2025","Pat Bryant","Broncos","WR","51","8.27","0.030","2.08","0.007","8.00","0.16","56.9%","5.5","0.2","27.5%","15.7%"
"[object Object]","2025","Tyler Badie","Broncos","RB","31","8.25","0.064","5.35","0.041","3.33","0.11","38.7%","6.8","0.2","22.6%","12.9%"
"[object Object]","2025","Colby Parkinson","Rams","TE","56","8.18","0.034","2.63","0.011","9.98","0.18","66.1%","5.9","0.2","28.6%","5.4%"
"[object Object]","2025","James Cook III","Bills","RB","40","8.11","0.040","3.33","0.016","8.22","0.21","55.0%","5.6","0.2","20.0%","5.0%"
"[object Object]","2025","Devaughn Vele","Saints","WR","39","8.09","0.035","2.84","0.012","17.11","0.44","61.5%","5.8","0.2","33.3%","7.7%"
"[object Object]","2025","Chuba Hubbard","Panthers","RB","39","8.05","0.042","3.37","0.018","4.64","0.12","46.2%","5.6","0.2","20.5%","15.4%"
"[object Object]","2025","D'Andre Swift","Bears","RB","48","8.03","0.031","2.12","0.008","0.17","0.00","35.4%","5.0","0.2","8.3%","10.4%"
"[object Object]","2025","Mike Gesicki","Bengals","TE","42","8.03","0.033","2.20","0.009","2.67","0.06","64.3%","5.4","0.2","28.6%","19.0%"
"[object Object]","2025","Rico Dowdle","Panthers","RB","48","7.96","0.040","2.92","0.015","2.34","0.05","43.8%","5.2","0.2","16.7%","8.3%"
"[object Object]","2025","Rashee Rice","Chiefs","WR","79","7.94","0.032","2.28","0.009","8.67","0.11","51.9%","5.0","0.2","20.3%","16.5%"
"[object Object]","2025","Dallas Goedert","Eagles","TE","81","7.86","0.019","-2.59","-0.006","23.60","0.29","59.3%","3.0","0.1","21.0%","6.2%"
"[object Object]","2025","Garrett Wilson","Jets","WR","59","7.75","0.035","2.26","0.010","0.53","0.01","45.8%","5.0","0.2","18.6%","13.6%"
"[object Object]","2025","Tez Johnson","Buccaneers","WR","44","7.55","0.027","1.15","0.004","18.66","0.42","52.3%","4.5","0.1","29.5%","6.8%"
"[object Object]","2025","Kenneth Gainwell","Steelers","RB","85","7.53","0.025","0.18","0.001","3.89","0.05","43.5%","2.7","0.1","15.3%","10.6%"
"[object Object]","2025","Jayden Higgins","Texans","WR","68","7.44","0.022","-0.45","-0.001","14.03","0.21","51.5%","3.9","0.1","23.5%","11.8%"
"[object Object]","2025","Darren Waller","Dolphins","TE","34","7.30","0.050","3.41","0.023","20.76","0.61","61.8%","5.4","0.2","41.2%","11.8%"
"[object Object]","2025","Matthew Golden","Packers","WR","43","7.18","0.029","1.13","0.005","16.78","0.39","51.2%","4.1","0.1","27.9%","9.3%"
